,Estimator,Best_params,Train_score,Test_score
0,RandomForestClassifier,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 20, 'n_estimators': 500, 'n_jobs': -1, 'random_state': 42}",0.7919071026572629,0.8035239361702128
1,GaussianNB,{},0.6087483080430292,0.6058843085106383
2,SVC,"{'C': 1, 'class_weight': 'balanced', 'kernel': 'linear', 'random_state': 42}",0.600056992234808,0.5952460106382979
