,Estimator,Best_params,Train_score,Test_score
0,RandomForestClassifier,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 20, 'n_estimators': 100, 'n_jobs': -1, 'random_state': 42}",0.5143884892086331,0.4329608938547486
1,GaussianNB,{},0.20743405275779372,0.17597765363128492
2,SVC,"{'C': 1, 'class_weight': 'balanced', 'kernel': 'linear', 'random_state': 42}",0.40767386091127095,0.38268156424581007
